query_id,formal_ndcg@10,formal_recall@100,formal_mrr@10,informal_ndcg@10,informal_recall@100,informal_mrr@10,normalized_ndcg@10,normalized_recall@100,normalized_mrr@10,llm_ndcg@10,llm_recall@100,llm_mrr@10,formal_vs_informal,formal_vs_normalized,formal_vs_llm
1006,0.7654,0.6667,1.0,0.7654,0.6667,1.0,0.7654,0.6667,1.0,0.1815,0.6667,0.2,0.9948,0.9944,0.8498
1082,0.6934,1.0,0.5,1.0,1.0,1.0,0.9197,1.0,1.0,0.4228,1.0,0.1667,0.9522,0.9664,0.9088
1088,0.3109,0.8571,0.5,0.3109,0.8571,0.5,0.3109,0.8571,0.5,0.0795,0.4286,0.1,0.9892,0.9941,0.8832
1116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9595,0.9638,0.7873
1130,0.4693,0.3333,1.0,0.4693,0.3333,1.0,0.4693,0.3333,1.0,0.4693,0.3333,1.0,0.9963,0.9954,0.9506
1158,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6309,1.0,0.5,0.9632,0.9665,0.9139
1198,0.3869,1.0,0.5,0.3869,1.0,0.5,0.3869,1.0,0.5,0.0,0.0,0.0,0.9766,0.9766,0.7935
1239,0.4066,0.7692,0.3333,0.3764,0.6923,0.25,0.3128,0.6923,0.25,0.1763,0.3077,0.3333,0.9898,0.9929,0.8608
1252,0.3904,1.0,1.0,0.3904,1.0,1.0,0.3904,1.0,1.0,0.0,0.0,0.0,0.988,0.9921,0.8699
1266,0.4944,0.9,1.0,0.4252,1.0,1.0,0.4252,1.0,1.0,0.3301,0.6,1.0,0.9591,0.9626,0.915
1374,0.2529,0.375,1.0,0.2529,0.25,1.0,0.2529,0.25,1.0,0.2529,0.125,1.0,0.9812,0.9864,0.8582
1407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9934,0.9938,0.9503
1410,0.3066,1.0,0.3333,0.3869,1.0,0.5,0.3869,1.0,0.5,0.6131,0.5,1.0,0.9453,0.9492,0.9587
1450,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9606,0.9632,0.9157
1559,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9898,0.9915,0.837
1725,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.9889,0.9936,0.9874
1731,0.4307,1.0,0.25,0.4307,1.0,0.25,0.4307,1.0,0.25,0.0,0.0,0.0,0.9759,0.9764,0.847
1769,0.363,1.0,0.5,0.3445,1.0,0.5,0.446,1.0,1.0,0.0,0.1429,0.0,0.9516,0.9615,0.8847
1854,0.5438,1.0,0.3333,0.6053,1.0,0.5,0.5912,1.0,0.5,0.0,0.5,0.0,0.9821,0.9844,0.8876
1858,0.9469,1.0,1.0,0.9675,1.0,1.0,0.9675,1.0,1.0,0.9469,1.0,1.0,0.963,0.9659,0.9256
19,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.9953,0.9953,0.9582
1905,0.2044,1.0,0.1429,0.0,1.0,0.0,0.1772,1.0,0.1,0.1772,1.0,0.1,0.9704,0.9739,0.9676
1911,0.142,0.8,0.1667,0.1488,0.8,0.2,0.1546,0.8,0.2,0.0,0.0,0.0,0.9806,0.9814,0.8287
1913,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9435,0.9457,0.7935
1928,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9809,0.9851,0.8672
1956,0.4693,0.6667,1.0,0.4693,0.6667,1.0,0.4693,0.6667,1.0,0.0,0.3333,0.0,0.9843,0.9851,0.8922
2001,0.482,1.0,0.25,0.6608,1.0,0.5,0.6608,1.0,0.5,0.0,0.0,0.0,0.887,0.8912,0.8339
203,0.3904,0.75,1.0,0.5135,0.75,1.0,0.5079,0.75,1.0,0.0,0.25,0.0,0.9724,0.9797,0.8546
2035,0.6678,1.0,1.0,0.769,1.0,1.0,0.7609,1.0,1.0,0.6269,0.875,1.0,0.9893,0.9931,0.9016
21,0.1934,1.0,0.125,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.9584,0.9585,0.8312
2148,1.0,1.0,1.0,0.6309,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.3333,0.9847,0.9872,0.9512
2154,0.2346,1.0,0.3333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.3333,0.0,0.9227,0.9247,0.8819
2161,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9571,0.9593,0.825
2188,0.8772,1.0,1.0,0.8772,1.0,1.0,0.8772,1.0,1.0,0.3066,1.0,0.3333,0.9953,0.9877,0.9077
220,0.5,1.0,0.3333,0.5,1.0,0.3333,0.5,1.0,0.3333,0.2891,1.0,0.1,0.9937,0.9945,0.9077
2233,0.2918,0.8571,0.5,0.2798,0.8571,0.5,0.3109,0.8571,0.5,0.1711,0.7143,0.1429,0.9959,0.9973,0.9042
2262,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9887,0.989,0.866
2843,1.0,1.0,1.0,0.6309,1.0,0.5,0.6309,1.0,0.5,0.2891,1.0,0.1,0.9918,0.9915,0.9218
2898,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.962,0.9624,0.892
2919,0.8503,1.0,1.0,0.8316,1.0,1.0,0.8316,1.0,1.0,0.8316,1.0,1.0,0.9746,0.975,0.9726
2965,0.9829,1.0,1.0,0.5294,1.0,1.0,0.7157,1.0,1.0,0.0,0.5,0.0,0.9027,0.9377,0.858
298,0.3967,0.5556,1.0,0.3771,0.5556,1.0,0.2224,0.5556,0.5,0.0,0.0,0.0,0.9406,0.9375,0.89
2987,0.4084,0.8889,0.5,0.2624,0.7778,0.3333,0.3405,0.8889,0.5,0.1621,0.5556,0.1667,0.9532,0.9939,0.9428
3042,0.5,1.0,0.3333,1.0,1.0,1.0,0.3869,1.0,0.2,0.0,0.0,0.0,0.8972,0.9671,0.8054
3046,0.4441,0.8,1.0,0.4226,0.8,1.0,0.4284,0.8,1.0,0.0,0.1,0.0,0.9765,0.9929,0.8187
3071,0.2372,1.0,0.2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8873,0.8873,0.7908
3084,0.7757,1.0,1.0,0.1232,0.5,0.125,0.6367,0.75,1.0,0.0,0.0,0.0,0.8539,0.8929,0.8142
310,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9531,0.9748,0.9375
3110,0.6131,1.0,1.0,0.6131,0.5,1.0,0.6131,1.0,1.0,0.6131,0.5,1.0,0.9919,0.9944,0.968
3119,0.3585,1.0,0.25,0.0,0.3333,0.0,0.2021,1.0,0.25,0.0,0.3333,0.0,0.8274,0.9528,0.8646
3121,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9396,0.9635,0.8646
316,0.7582,0.8,1.0,0.6601,0.8,1.0,0.6601,0.8,1.0,0.252,0.6,0.2,0.9759,0.9745,0.9122
3212,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5938,1.0,0.5,0.9685,0.97,0.8862
3213,1.0,1.0,1.0,0.6309,1.0,0.5,0.6309,1.0,0.5,0.0,0.0,0.0,0.9544,0.9554,0.8609
3227,0.693,1.0,1.0,0.6629,1.0,1.0,0.7484,1.0,1.0,0.7638,1.0,1.0,0.9744,0.9779,0.9237
324,0.5087,0.6,1.0,0.0,0.2,0.0,0.1696,0.4,0.3333,0.1696,0.6,0.3333,0.8927,0.9139,0.8786
3254,0.5925,0.75,0.5,0.1391,0.75,0.1667,0.2983,1.0,0.25,0.1301,0.75,0.1429,0.9364,0.9463,0.9257
3273,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6131,1.0,1.0,0.9224,0.9857,0.841
3406,0.5,1.0,0.3333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9843,0.9845,0.9556
3452,1.0,1.0,1.0,0.5,1.0,0.3333,0.5,1.0,0.3333,0.0,0.0,0.0,0.9404,0.9406,0.8287
3472,0.5585,0.75,1.0,0.5585,0.75,1.0,0.5585,0.75,1.0,0.0,0.5,0.0,0.987,0.9882,0.8981
3482,0.1357,0.3333,0.1,0.0,0.3333,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.9839,0.9893,0.8555
358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9727,0.9722,0.9833
3609,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8807,0.9624,0.827
361,0.0,0.3333,0.0,0.0,0.3333,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.9654,0.9629,0.9078
3616,0.1413,1.0,0.1111,0.1564,1.0,0.1429,0.2893,1.0,0.125,0.0,0.0,0.0,0.9514,0.9539,0.8273
3620,0.3904,1.0,1.0,0.2983,1.0,0.25,0.2463,1.0,0.5,0.3973,0.5,0.5,0.9099,0.9174,0.8878
3662,0.301,1.0,0.1111,0.2891,1.0,0.1,0.0,1.0,0.0,0.0,1.0,0.0,0.9332,0.9354,0.9244
367,0.3836,1.0,0.5,0.3601,0.8,0.5,0.3836,0.6,0.5,0.4704,0.4,1.0,0.959,0.9371,0.8996
3696,0.4693,0.6667,1.0,0.4693,0.6667,1.0,0.4693,0.6667,1.0,0.4693,0.6667,1.0,0.9812,0.9902,0.9303
3731,0.5,1.0,0.3333,0.5,1.0,0.3333,0.5,1.0,0.3333,0.0,1.0,0.0,0.9259,0.9539,0.8524
3767,0.2749,0.8571,1.0,0.2749,0.8571,1.0,0.3576,0.8571,1.0,0.0979,0.2857,0.1667,0.9633,0.9724,0.9143
3779,0.4237,0.8889,0.5,0.3072,0.7778,0.5,0.4753,0.7778,0.5,0.0,0.2222,0.0,0.9574,0.9855,0.8299
3787,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9633,0.9592,0.958
389,0.3026,1.0,1.0,0.3026,1.0,1.0,0.3937,1.0,1.0,0.1513,0.3333,0.3333,0.9637,0.9662,0.867
3892,0.7533,1.0,1.0,0.6218,1.0,1.0,0.6218,1.0,1.0,0.0,0.0,0.0,0.9293,0.9287,0.8185
3917,1.0,1.0,1.0,0.5,1.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.9235,0.8107,0.828
3930,0.3562,1.0,0.1667,0.3869,1.0,0.2,0.3869,1.0,0.2,0.0,0.0,0.0,0.9885,0.9881,0.8747
3969,0.3869,1.0,0.2,0.4307,1.0,0.25,0.5,1.0,0.3333,0.0,0.0,0.0,0.9687,0.9682,0.906
3984,0.3562,1.0,0.1667,0.5,1.0,0.3333,0.6309,1.0,0.5,0.0,1.0,0.0,0.9688,0.9763,0.8909
3992,0.581,1.0,1.0,0.6721,1.0,1.0,0.6013,1.0,1.0,0.4935,1.0,1.0,0.9752,0.9753,0.9697
4031,0.3869,1.0,0.5,0.3869,1.0,0.5,0.3869,1.0,0.5,0.3066,1.0,0.3333,0.9878,0.9881,0.9739
4168,0.0,1.0,0.0,0.0,0.8,0.0,0.0,1.0,0.0,0.0,0.6,0.0,0.9577,0.9578,0.9343
4183,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9385,0.9656,0.8613
4198,0.6548,1.0,1.0,0.6218,0.6,1.0,0.6548,0.6,1.0,0.5296,0.8,0.5,0.9151,0.9329,0.879
4217,0.4575,1.0,0.25,0.1772,1.0,0.1,0.0,1.0,0.0,0.0,1.0,0.0,0.9094,0.9316,0.9162
4232,0.3163,0.7143,0.25,0.2798,0.5714,0.5,0.2918,0.5714,0.5,0.1374,0.4286,0.3333,0.9183,0.919,0.886
4254,0.1171,0.5,0.2,0.1303,0.5,0.25,0.1303,0.5,0.25,0.0,0.5,0.0,0.9532,0.9574,0.8968
4332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6309,1.0,0.5,0.9657,0.9669,0.8764
4358,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9504,0.9889,0.8474
4362,1.0,1.0,1.0,0.4307,1.0,0.25,1.0,1.0,1.0,0.0,0.0,0.0,0.989,0.9933,0.8884
4387,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9325,0.9852,0.922
4436,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9639,0.9649,0.8394
4574,0.0,1.0,0.0,0.1312,1.0,0.2,0.1312,1.0,0.2,0.1208,1.0,0.1667,0.9547,0.9565,0.9532
4589,0.2044,1.0,0.1429,0.1846,1.0,0.1111,0.1934,1.0,0.125,0.0,0.0,0.0,0.9674,0.9649,0.825
4600,0.6309,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.9281,0.9311,0.8592
4603,0.3127,0.75,0.3333,0.3342,0.75,0.3333,0.3342,0.75,0.3333,0.0,0.5,0.0,0.9663,0.9665,0.8976
4608,0.3585,1.0,0.25,0.0,1.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.9004,0.8964,0.8566
4677,0.8022,1.0,1.0,0.5509,1.0,0.5,0.6476,1.0,0.5,0.5939,1.0,0.3333,0.9016,0.9026,0.9018
4690,0.706,0.6667,1.0,0.5108,0.8333,1.0,0.5275,0.8333,1.0,0.0,0.1667,0.0,0.9103,0.9174,0.8271
4701,0.3777,1.0,0.5,0.6535,0.8571,1.0,0.6423,0.8571,1.0,0.2749,0.4286,1.0,0.9481,0.9497,0.8586
4733,0.3869,1.0,0.5,0.2184,1.0,0.1667,0.2184,1.0,0.1667,0.0,0.5,0.0,0.9469,0.9508,0.9137
4779,0.1564,1.0,0.1429,0.1413,1.0,0.1111,0.1413,1.0,0.1111,0.0,1.0,0.0,0.9691,0.9688,0.9195
4797,0.7654,1.0,1.0,0.7039,1.0,1.0,0.7039,1.0,1.0,0.4776,1.0,0.5,0.9629,0.964,0.9131
4816,0.4307,1.0,0.25,0.5,1.0,0.3333,0.4307,1.0,0.25,0.5,1.0,0.3333,0.9438,0.9817,0.9524
4889,0.6714,1.0,1.0,0.7654,0.6667,1.0,0.6714,0.6667,1.0,0.0,0.6667,0.0,0.9276,0.9609,0.8786
4919,0.9197,1.0,1.0,0.9197,1.0,1.0,0.9197,1.0,1.0,0.0,0.0,0.0,0.968,0.9692,0.8239
4962,0.3869,1.0,0.2,0.3562,1.0,0.1667,0.3562,1.0,0.1667,0.0,0.0,0.0,0.9804,0.9804,0.8701
5003,0.0,0.6667,0.0,0.0,0.6667,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.9793,0.9799,0.9086
506,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8249,0.8234,0.7552
5210,0.7537,1.0,1.0,0.3904,1.0,1.0,0.6805,1.0,1.0,0.647,0.75,1.0,0.9241,0.9268,0.9301
5245,0.5024,1.0,0.3333,0.4865,0.75,0.3333,0.5143,0.75,0.3333,0.5446,0.75,0.5,0.9517,0.947,0.9386
5253,0.6131,1.0,1.0,0.3869,0.5,0.5,0.6131,0.5,1.0,0.6131,0.5,1.0,0.8472,0.8423,0.948
5278,0.46,1.0,1.0,0.2773,0.8,0.25,0.6855,1.0,1.0,0.5531,0.8,1.0,0.9115,0.9584,0.9255
5286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8673,0.9526,0.9226
5352,0.6309,1.0,0.5,1.0,1.0,1.0,0.6309,1.0,0.5,0.6309,1.0,0.5,0.8974,0.9654,0.9157
5370,0.4911,1.0,0.3333,0.3869,1.0,0.5,0.3066,1.0,0.3333,0.3869,1.0,0.5,0.9749,0.9523,0.9502
5372,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.9287,0.9272,0.8352
5503,1.0,1.0,1.0,0.6509,1.0,0.5,0.6509,1.0,0.5,0.0,0.5,0.0,0.9012,0.9057,0.8749
555,0.876,1.0,1.0,0.2468,0.8333,0.3333,0.8535,1.0,1.0,0.8706,1.0,1.0,0.9101,0.9721,0.9202
5557,0.8503,1.0,1.0,0.8175,1.0,1.0,0.8175,1.0,1.0,0.9197,1.0,1.0,0.988,0.9906,0.9413
5567,0.6131,1.0,1.0,0.3869,1.0,0.5,0.3869,1.0,0.5,0.6131,0.5,1.0,0.9133,0.9452,0.9136
5583,0.9197,1.0,1.0,0.2372,1.0,0.2,0.2372,1.0,0.2,0.3066,1.0,0.3333,0.9581,0.9604,0.895
5586,0.511,1.0,0.3333,0.3869,1.0,0.5,0.3869,1.0,0.5,0.2184,1.0,0.1667,0.9771,0.982,0.9236
559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9627,0.9906,0.8107
567,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9959,0.9746,0.8645
568,0.6131,1.0,1.0,0.6131,1.0,1.0,0.6131,1.0,1.0,0.1772,0.5,0.1,0.9563,0.9563,0.8964
5706,0.2961,1.0,0.5,0.2961,1.0,0.5,0.2961,1.0,0.5,0.4693,1.0,1.0,0.9241,0.9333,0.9835
5719,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.994,0.9949,0.8627
5811,0.3904,0.5,1.0,0.1952,0.25,0.3333,0.3904,0.25,1.0,0.0,0.25,0.0,0.9232,0.9442,0.8962
5861,0.7277,1.0,1.0,0.5571,1.0,1.0,0.7323,1.0,1.0,0.0,0.125,0.0,0.9513,0.9894,0.8247
5971,0.4982,1.0,0.5,0.4776,1.0,0.5,0.6714,1.0,1.0,0.0,0.0,0.0,0.9772,0.977,0.8135
5980,0.8541,1.0,1.0,0.8319,1.0,1.0,0.8319,1.0,1.0,0.0,0.0,0.0,0.9068,0.9096,0.8138
60,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.9305,0.9315,0.8622
6021,0.7403,1.0,1.0,0.8332,1.0,1.0,0.8314,1.0,1.0,0.3692,1.0,0.3333,0.9906,0.9914,0.8822
6052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8954,0.9649,0.8899
6085,0.1312,0.8,0.2,0.6943,0.8,1.0,0.7191,0.8,1.0,0.3452,0.8,0.5,0.8596,0.8831,0.917
6087,0.7757,0.75,1.0,0.1232,0.25,0.125,0.7757,0.75,1.0,0.0,0.0,0.0,0.8989,0.9533,0.8886
613,0.0,0.3333,0.0,0.0,0.1667,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.9596,0.9713,0.8511
662,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975,0.9803,0.9705
679,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8502,0.8423,0.8234
706,0.6131,1.0,1.0,0.6131,1.0,1.0,0.6131,1.0,1.0,0.6131,1.0,1.0,0.9169,0.9642,0.937
713,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6309,1.0,0.5,0.9487,0.9558,0.8978
736,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.9619,0.9676,0.8768
746,0.2641,1.0,0.25,0.3869,1.0,0.5,0.3066,1.0,0.3333,0.2641,0.5,0.25,0.9241,0.9829,0.8771
78,0.956,1.0,1.0,0.0,0.4,0.0,0.0,0.4,0.0,0.9747,1.0,1.0,0.8508,0.8504,0.9045
79,0.0,0.2,0.0,0.0663,0.2,0.1111,0.0636,0.2,0.1,0.0,0.1,0.0,0.9849,0.9854,0.9302
830,1.0,1.0,1.0,0.9197,1.0,1.0,0.9197,1.0,1.0,0.8316,1.0,1.0,0.9803,0.9821,0.8925
849,0.8772,1.0,1.0,0.3869,1.0,0.5,0.8175,1.0,1.0,0.0,0.0,0.0,0.8823,0.9125,0.8735
919,0.3026,0.6667,1.0,0.3026,0.6667,1.0,0.3026,0.6667,1.0,0.3026,0.1667,1.0,0.9808,0.9832,0.8687
