query_id	lexicon
1006	apaan yg dimaksud dgn Artefak ?
1082	Berapa populasi pemeluk agama islam di Indonesi tahun 2010?
1088	Di kendaraan apakah dapet ditemukan mesin pembakaran dalam?
1116	berapakah luas  Jepang ?
1130	apa penyebab kematian Mgr. Arnold Verstraelen ?
1158	berapakah jumlah Pahlawan Nasional di Indonesia?
1198	Berapa jumlah negara anggota Uni Eropa?
1239	Apakah smartphone adalah telepon genggam?
1252	Dimana letak masjid Istiqlal?
1266	Siapa tuh para samurai ?
1374	Berapa lama Kekaisaran Romawi berkuasa?
1407	kapankah internet di ciptakan?
1410	Kapan hari kemerdekaan Republik Albania?
1450	Kapan Jagatara Oharu lahir?
1559	Tahun berapa Filmfare pertama diselenggarakan ?
1725	Apakah nama alat komunikasi sebelum ditemukannya telepon ?
1731	Pada umur berapa Paul David Hewson bergabung ama U2?
1769	apa penyebab menstruasi?
1854	Siapakah yang dikenal sebagai bapak ekonomi ?
1858	Berapa luas Kabupaten Bangka Selatan?
19	Apakah karya tulis Irma Hardisurya yang pertama?
1905	Kapan Australia diperingati di Selandia Baru?
1911	Apakah pengertian DNA ?
1913	apaan tuh Wrekodara?
1928	Berapa jumlah planet di dalam tatasurya?
1956	apakah minuman beralkohol khas Rusia?
2001	apa yg dimaksud ama hewab amfibi?
203	Apakah yang dimaksud dgn norma hukum?
2035	apa makna dari gelar Adipati ?
21	Siapakah yang menemukan DNA ?
2148	Kapan ilmu ekonomi pertama dipelajari?
2154	apaan yg menyebabkan terjadinya pemberontakan petani pada akhir Dinasti Sui?
2161	Berapa lama jarak tempuh penerbangan Jakarta-Raja Ampat ?
2188	Apakah jabatan Prof. Dr. Johannes Baptista Sumarlin?
220	apakah hewan tercepat di dunia?
2233	Apakah nama tempat ibadah Yahudi ?
2262	dimankah Zhangsun Wuji dilahirkan?
2843	Apakah Albert Einstein‎ filsuf berasal dari Jerman?
2898	Dimana Tuak nira diproduksi di Indonesia?
2919	Apakah bahasa Kekaisaran Persia Akhaimenia?
2965	Berapa luas wilayah Candi Cangkuang?
298	apakah yang di maksud ama uskup?
2987	Kapan ilmu biologi ditemukan ?
3042	Berapa negara bagian di Venezuela?
3046	apa tuh transistor?
3071	berapakah luas Maluku Utara?
3084	berapakah jumlah negara yang di lintasi Sungai Nil?
310	Siapa pendiri General Electric Transportation?
3110	apaan partai politik pertama di Indonesia ?
3119	apakah ibukota  Korea Utara?
3121	Apakah Pemasaran Internasional dapet menyebabkan kenaikan harga?
316	Apakah bilangan genap?
3212	Kapan Italia menjadi negara Republik ?
3213	Dimana Song Jieun lahir ?
3227	Siapakah tokoh utama dalam Dragon Ball ?
324	Siapakah penegak hukum di Indonesia?
3254	Apakah nama penyakit yang menyerang Gandum?
3273	Tahun berapa Moritz Kaposi menemukan Sarkoma Kaposi?
3406	kapankah Kesultanan Utsmaniyah didirikan?
3452	Siapakah Ki Tjokrowasito?
3472	Kapankah hari pancasila diperingati ?
3482	siapakah yg memulai Seni modern?
358	apakah siaran TV tertua di Indonesia?
3609	berapakah sekuel Harry Potter ?
361	Apakah Enzim restriksi bersifat asam?
3616	Kapan Ritus Suriah Timur dilakukan?
3620	apakah bahasa Yunani adalah bahasa tertua di dunia?
3662	Kapankah hari kemerdekaan Ukraina?
367	Apakah pengertian dari hadist ?
3696	apa warna bendera India ?
3731	Berapa luas Kabupaten Klungkung?
3767	apakah yg di maksud ama atom?
3779	apa yg dimaksud ama tabel periodik ?
3787	Kapan Dr. Moewardi lulus dari STOVIA?
389	apaan pengertian ilmu Astronomi ?
3892	apaan yang dimaksud sama Karotenoid ?
3917	siapakah pendiri Majalah Bobo?
3930	siapakah pencipta roket pertama kali?
3969	Siapa ibu Bolesław I Chrobry?
3984	kapankah  Alamat IP pertama kali diperkenalkan pada komputer?
3992	Apakah ibukota Vietnam?
4031	Siapakah vokalis dari grup The Police?
4168	Kapan atom ditemukan ?
4183	Dari mana Samaun Bakri berasal ?
4198	Berapa luas Kabupaten Kepulauan Meranti?
4217	Berapa luas Republik Ghana?
4232	apakah agama yang di anut oleh orang Minangkabau ?
4254	Kapan internet ditemukan ?
4332	berapakah luas Jepang ?
4358	Siapakah yg terlibat dalam proyek SOI ASIA?
4362	Negara manakah yg pertama kali mengirim satelit ke luar angkasa ?
4387	berapakah luas Kabupaten Trenggalek?
4436	berapakah luas Filipina?
4574	Siapa pemimpin pertama Kekhalifahan Abbasiyah?
4589	Apakah yg dimaksud sama Ordo mendikan?
4600	berapakah jumlah anak Joko Widodo?
4603	dimanakah Kampanye Guadalkanal terjadi?
4608	apakah mata uang yg digunakan di Yunani?
4677	Kapan Istana Osaka didirikan?
4690	apa yang dimaksud dgn Molekul?
4701	Kapan kekaisaran Romawi Timur runtuh?
4733	Apakah nama tempat peribadatan agama Buddha?
4779	apakah nama ibukota Australia?
4797	Kapan Gerakan Angkatan Muda Kristen Indonesia didirikan?
4816	Kapan Bayezid I lahir ?
4889	Berapakah luas wilayah Tolitoli?
4919	berapakah luas Jambi ?
4962	Kapan Minamoto no Yoritomo meninggal?
5003	dimanakah kantor pusat Sinar Harapan?
506	Berapa luas Maluku Utara ?
5210	bahasa apakah yg paling byk digunakan di Afganistan?
5245	negara manakah yang paling banyak pakai Bahasa Sanskerta?
5253	Kapan Imagawa Yoshimoto meninggal ?
5278	apa nomor atom Karbon?
5286	Siapakah yang mendirikan Pondok Pesantren Pabelan?
5352	Ada berapa season serial drama Prison Break?
5370	kapankah Toy Story pertama dirilis?
5372	apa pengertian dari seorang filsuf ?
5503	Dimana letak Suku Anak Dalam ?
555	Apakah aroma bahan dari koktail berasal dari buah ?
5557	dari manakah asal jamur Shiitake?
5567	berapakah luas Kabupaten Brebes Jawa Tengah?
5583	dimanakah letak Gereja tertua di dunia?
5586	apaan nama negara terkecil di Eropa?
559	tahun berapakah SWA didirikan?
567	Kapan D. Afonso Henriques lahir?
568	siapakah ayah dari Sultan Mansur Syah?
5706	siapakah pencipta serial Transformers?
5719	Apakah karya pertama dari Turbo ?
5811	Bagaimankah sistem pemerintahan Mesir?
5861	apa tuh logaritma?
5971	apa itu bilangan pecahan?
5980	Berapa luas Kabupaten Kolaka Utara?
60	Kapan Paus Benediktus XV lahir ?
6021	Kapankah tembok berlin dibangun ?
6052	Berapa populasi penganut kristen di Indonesia tahun 2010 ?
6085	Siapa yg dimaksud sama orang-org Majus ?
6087	apakah cahaya lbh cepat dari suara?
613	apaan yang dimaksud sama Uskup Roma?
662	apa warna bendera Norwegia ?
679	apa tuh Qere dan Ketiv?
706	Siapakah yang membawa agama kristen masuk ke Indonesia?
713	apakah mata uang yg digunakan di Jerman ?
736	Dimana wilayah kekuasaan Dinasti Utsmaniyah?
746	Berapa luas Samudera Pasifik ?
78	kapankah provinsi Bangka Belitung didirikan?
79	Siapa yang memenangi balapan Formula 1 pertama ?
830	Berapa Luas kota Cirebon?
849	apakah alasan Ghana Airways dihentikan?
919	Apakah yg dimaksud dgn frekuensi audio?
